year,complete_states,panel_name,required_var_count,expected_states,chosen_start_year,chosen_end_year,is_in_balanced_span
2021,50,panel_market,91,50,1999,2024,True
2022,50,panel_market,91,50,1999,2024,True
2023,50,panel_market,91,50,1999,2024,True
2024,50,panel_market,91,50,1999,2024,True
1979,0,panel_modern,102,50,2008,2024,False
1980,0,panel_modern,102,50,2008,2024,False
1981,0,panel_modern,102,50,2008,2024,False
1982,0,panel_modern,102,50,2008,2024,False
1983,0,panel_modern,102,50,2008,2024,False
1984,0,panel_modern,102,50,2008,2024,False
1985,0,panel_modern,102,50,2008,2024,False
1986,0,panel_modern,102,50,2008,2024,False
1987,0,panel_modern,102,50,2008,2024,False
1988,0,panel_modern,102,50,2008,2024,False
1989,0,panel_modern,102,50,2008,2024,False
1990,0,panel_modern,102,50,2008,2024,False
1991,0,panel_modern,102,50,2008,2024,False
1992,0,panel_modern,102,50,2008,2024,False
1993,0,panel_modern,102,50,2008,2024,False
1994,0,panel_modern,102,50,2008,2024,False
1995,0,panel_modern,102,50,2008,2024,False
1996,0,panel_modern,102,50,2008,2024,False
1997,0,panel_modern,102,50,2008,2024,False
1998,0,panel_modern,102,50,2008,2024,False
1999,0,panel_modern,102,50,2008,2024,False
2000,0,panel_modern,102,50,2008,2024,False
2001,0,panel_modern,102,50,2008,2024,False
2002,0,panel_modern,102,50,2008,2024,False
2003,0,panel_modern,102,50,2008,2024,False
2004,0,panel_modern,102,50,2008,2024,False
2005,0,panel_modern,102,50,2008,2024,False
2006,0,panel_modern,102,50,2008,2024,False
2007,0,panel_modern,102,50,2008,2024,False
2008,50,panel_modern,102,50,2008,2024,True
2009,50,panel_modern,102,50,2008,2024,True
2010,50,panel_modern,102,50,2008,2024,True
2011,50,panel_modern,102,50,2008,2024,True
2012,50,panel_modern,102,50,2008,2024,True
2013,50,panel_modern,102,50,2008,2024,True
2014,50,panel_modern,102,50,2008,2024,True
2015,50,panel_modern,102,50,2008,2024,True
2016,50,panel_modern,102,50,2008,2024,True
2017,50,panel_modern,102,50,2008,2024,True
2018,50,panel_modern,102,50,2008,2024,True
2019,50,panel_modern,102,50,2008,2024,True
2020,50,panel_modern,102,50,2008,2024,True
2021,50,panel_modern,102,50,2008,2024,True
2022,50,panel_modern,102,50,2008,2024,True
2023,50,panel_modern,102,50,2008,2024,True
2024,50,panel_modern,102,50,2008,2024,True
