state_fips,state_abbr,state,year,synthetic_opioid_death_rate
08,CO,Colorado,2013,0.0
08,CO,Colorado,2014,0.0
08,CO,Colorado,2015,
08,CO,Colorado,2016,
08,CO,Colorado,2017,
08,CO,Colorado,2018,2.2818406731078933
08,CO,Colorado,2019,4.358784583308877
08,CO,Colorado,2020,10.12636703794951
08,CO,Colorado,2021,16.97518973687252
08,CO,Colorado,2022,16.94754546751393
08,CO,Colorado,2023,20.02625062582033
08,CO,Colorado,2024,13.642810839839411
09,CT,Connecticut,1999,0.0
09,CT,Connecticut,2000,0.0
09,CT,Connecticut,2001,0.0
09,CT,Connecticut,2002,0.0
09,CT,Connecticut,2003,0.0
09,CT,Connecticut,2004,0.0
09,CT,Connecticut,2005,0.0
09,CT,Connecticut,2006,0.0
09,CT,Connecticut,2007,0.0
09,CT,Connecticut,2008,0.0
09,CT,Connecticut,2009,0.0
09,CT,Connecticut,2010,0.0
09,CT,Connecticut,2011,0.0
09,CT,Connecticut,2012,0.0
09,CT,Connecticut,2013,0.0
09,CT,Connecticut,2014,0.0
09,CT,Connecticut,2015,5.963393126102636
09,CT,Connecticut,2016,14.19061799023976
09,CT,Connecticut,2017,19.46676720767125
09,CT,Connecticut,2018,21.792885895638655
09,CT,Connecticut,2019,27.56573010486194
09,CT,Connecticut,2020,32.126108665026095
09,CT,Connecticut,2021,36.116543067522414
09,CT,Connecticut,2022,34.625627330424926
09,CT,Connecticut,2023,30.785125045003678
09,CT,Connecticut,2024,20.84666299627509
10,DE,Delaware,1999,0.0
10,DE,Delaware,2000,0.0
10,DE,Delaware,2001,0.0
10,DE,Delaware,2002,0.0
10,DE,Delaware,2003,0.0
10,DE,Delaware,2004,0.0
10,DE,Delaware,2005,0.0
10,DE,Delaware,2006,0.0
10,DE,Delaware,2007,0.0
10,DE,Delaware,2008,0.0
10,DE,Delaware,2009,0.0
10,DE,Delaware,2010,0.0
10,DE,Delaware,2011,0.0
10,DE,Delaware,2012,0.0
10,DE,Delaware,2013,0.0
10,DE,Delaware,2014,0.0
10,DE,Delaware,2015,
10,DE,Delaware,2016,
10,DE,Delaware,2017,
10,DE,Delaware,2018,31.024266146837853
10,DE,Delaware,2019,34.5050723480241
10,DE,Delaware,2020,37.00007057234169
10,DE,Delaware,2021,40.691253867658915
10,DE,Delaware,2022,44.105582884681546
10,DE,Delaware,2023,42.690712548558274
10,DE,Delaware,2024,25.616046882127144
11,DC,District of Columbia,1999,0.0
11,DC,District of Columbia,2000,0.0
11,DC,District of Columbia,2001,0.0
11,DC,District of Columbia,2002,0.0
11,DC,District of Columbia,2003,0.0
11,DC,District of Columbia,2004,0.0
11,DC,District of Columbia,2005,0.0
11,DC,District of Columbia,2006,0.0
11,DC,District of Columbia,2007,0.0
11,DC,District of Columbia,2008,0.0
11,DC,District of Columbia,2009,0.0
11,DC,District of Columbia,2010,0.0
11,DC,District of Columbia,2011,0.0
11,DC,District of Columbia,2012,0.0
11,DC,District of Columbia,2013,0.0
11,DC,District of Columbia,2014,0.0
11,DC,District of Columbia,2015,
11,DC,District of Columbia,2016,
11,DC,District of Columbia,2017,
11,DC,District of Columbia,2018,
11,DC,District of Columbia,2019,
11,DC,District of Columbia,2020,
11,DC,District of Columbia,2021,
11,DC,District of Columbia,2022,
11,DC,District of Columbia,2023,
11,DC,District of Columbia,2024,
12,FL,Florida,1999,0.0
12,FL,Florida,2000,0.0
12,FL,Florida,2001,0.0
12,FL,Florida,2002,0.0
12,FL,Florida,2003,0.0
12,FL,Florida,2004,0.0
12,FL,Florida,2005,0.0
12,FL,Florida,2006,0.0
12,FL,Florida,2007,0.0
12,FL,Florida,2008,0.0
12,FL,Florida,2009,0.0
12,FL,Florida,2010,0.0
12,FL,Florida,2011,0.0
12,FL,Florida,2012,0.0
12,FL,Florida,2013,0.0
12,FL,Florida,2014,0.0
12,FL,Florida,2015,
12,FL,Florida,2016,
12,FL,Florida,2017,
12,FL,Florida,2018,
12,FL,Florida,2019,14.140108326537025
12,FL,Florida,2020,
12,FL,Florida,2021,25.79144520842849
12,FL,Florida,2022,24.118866124186997
12,FL,Florida,2023,21.0342702909402
12,FL,Florida,2024,
13,GA,Georgia,1999,0.0
13,GA,Georgia,2000,0.0
13,GA,Georgia,2001,0.0
13,GA,Georgia,2002,0.0
13,GA,Georgia,2003,0.0
13,GA,Georgia,2004,0.0
13,GA,Georgia,2005,0.0
13,GA,Georgia,2006,0.0
13,GA,Georgia,2007,0.0
13,GA,Georgia,2008,0.0
13,GA,Georgia,2009,0.0
13,GA,Georgia,2010,0.0
13,GA,Georgia,2011,0.0
13,GA,Georgia,2012,0.0
13,GA,Georgia,2013,0.0
13,GA,Georgia,2014,0.0
13,GA,Georgia,2015,2.8772448524567498
13,GA,Georgia,2016,2.6386140602042483
13,GA,Georgia,2017,3.8974636823102475
13,GA,Georgia,2018,3.1465705850406334
13,GA,Georgia,2019,3.6130906791669566
13,GA,Georgia,2020,7.985021329883407
13,GA,Georgia,2021,12.90646803986051
13,GA,Georgia,2022,15.361401911364618
13,GA,Georgia,2023,15.193874654059156
13,GA,Georgia,2024,9.692786852939538
15,HI,Hawaii,1999,0.0
15,HI,Hawaii,2000,0.0
15,HI,Hawaii,2001,0.0
15,HI,Hawaii,2002,0.0
15,HI,Hawaii,2003,0.0
15,HI,Hawaii,2004,0.0
15,HI,Hawaii,2005,0.0
15,HI,Hawaii,2006,0.0
15,HI,Hawaii,2007,0.0
15,HI,Hawaii,2008,0.0
15,HI,Hawaii,2009,0.0
15,HI,Hawaii,2010,0.0
15,HI,Hawaii,2011,0.0
15,HI,Hawaii,2012,0.0
15,HI,Hawaii,2013,0.0
15,HI,Hawaii,2014,0.0
15,HI,Hawaii,2015,
15,HI,Hawaii,2016,0.8398156604625284
15,HI,Hawaii,2017,
15,HI,Hawaii,2018,1.124304512255622
15,HI,Hawaii,2019,1.4834541877558518
15,HI,Hawaii,2020,2.3430016607747066
15,HI,Hawaii,2021,3.4556423382534764
15,HI,Hawaii,2022,5.564009759273118
15,HI,Hawaii,2023,7.735461165894282
15,HI,Hawaii,2024,7.5960728999994425
16,ID,Idaho,1999,0.0
16,ID,Idaho,2000,0.0
16,ID,Idaho,2001,0.0
16,ID,Idaho,2002,0.0
16,ID,Idaho,2003,0.0
16,ID,Idaho,2004,0.0
16,ID,Idaho,2005,0.0
16,ID,Idaho,2006,0.0
16,ID,Idaho,2007,0.0
16,ID,Idaho,2008,0.0
16,ID,Idaho,2009,0.0
16,ID,Idaho,2010,0.0
16,ID,Idaho,2011,0.0
16,ID,Idaho,2012,0.0
16,ID,Idaho,2013,0.0
16,ID,Idaho,2014,0.0
16,ID,Idaho,2015,
16,ID,Idaho,2016,
16,ID,Idaho,2017,
16,ID,Idaho,2018,
16,ID,Idaho,2019,
16,ID,Idaho,2020,
16,ID,Idaho,2021,7.979609996561417
16,ID,Idaho,2022,9.624535050034716
16,ID,Idaho,2023,10.200472266641361
16,ID,Idaho,2024,6.297254397082871
17,IL,Illinois,1999,0.0
17,IL,Illinois,2000,0.0
17,IL,Illinois,2001,0.0
17,IL,Illinois,2002,0.0
17,IL,Illinois,2003,0.0
17,IL,Illinois,2004,0.0
17,IL,Illinois,2005,0.0
17,IL,Illinois,2006,0.0
17,IL,Illinois,2007,0.0
17,IL,Illinois,2008,0.0
17,IL,Illinois,2009,0.0
17,IL,Illinois,2010,0.0
17,IL,Illinois,2011,0.0
17,IL,Illinois,2012,0.0
17,IL,Illinois,2013,0.0
17,IL,Illinois,2014,0.0
17,IL,Illinois,2015,2.154035297406565
17,IL,Illinois,2016,7.229925433497203
17,IL,Illinois,2017,9.859237475618928
17,IL,Illinois,2018,12.518973947095745
17,IL,Illinois,2019,13.602255369200183
17,IL,Illinois,2020,19.514904948267137
17,IL,Illinois,2021,21.92334402394832
17,IL,Illinois,2022,23.482151701044373
17,IL,Illinois,2023,21.205711309926418
17,IL,Illinois,2024,13.185827353199823
18,IN,Indiana,1999,0.0
18,IN,Indiana,2000,0.0
18,IN,Indiana,2001,0.0
18,IN,Indiana,2002,0.0
18,IN,Indiana,2003,0.0
18,IN,Indiana,2004,0.0
18,IN,Indiana,2005,0.0
18,IN,Indiana,2006,0.0
18,IN,Indiana,2007,0.0
18,IN,Indiana,2008,0.0
18,IN,Indiana,2009,0.0
18,IN,Indiana,2010,0.0
18,IN,Indiana,2011,0.0
18,IN,Indiana,2012,0.0
18,IN,Indiana,2013,0.0
18,IN,Indiana,2014,0.0
18,IN,Indiana,2015,
18,IN,Indiana,2016,
18,IN,Indiana,2017,
18,IN,Indiana,2018,
18,IN,Indiana,2019,13.489803164755363
18,IN,Indiana,2020,23.563058426076058
18,IN,Indiana,2021,29.130247131624543
18,IN,Indiana,2022,27.742490635447737
18,IN,Indiana,2023,22.524574674269218
18,IN,Indiana,2024,15.054607560700784
19,IA,Iowa,1999,0.0
19,IA,Iowa,2000,0.0
19,IA,Iowa,2001,0.0
19,IA,Iowa,2002,0.0
19,IA,Iowa,2003,0.0
19,IA,Iowa,2004,0.0
19,IA,Iowa,2005,0.0
19,IA,Iowa,2006,0.0
19,IA,Iowa,2007,0.0
19,IA,Iowa,2008,0.0
19,IA,Iowa,2009,0.0
19,IA,Iowa,2010,0.0
19,IA,Iowa,2011,0.0
19,IA,Iowa,2012,0.0
19,IA,Iowa,2013,0.0
19,IA,Iowa,2014,0.0
19,IA,Iowa,2015,1.4091087995321758
19,IA,Iowa,2016,1.7553882440053492
19,IA,Iowa,2017,3.085502781087713
19,IA,Iowa,2018,2.4762690879075526
19,IA,Iowa,2019,3.19661121231955
19,IA,Iowa,2020,5.076649574235189
19,IA,Iowa,2021,6.6582537182283295
19,IA,Iowa,2022,6.340005434290372
19,IA,Iowa,2023,6.034704528112546
19,IA,Iowa,2024,3.869425164388659
20,KS,Kansas,1999,0.0
20,KS,Kansas,2000,0.0
20,KS,Kansas,2001,0.0
20,KS,Kansas,2002,0.0
20,KS,Kansas,2003,0.0
20,KS,Kansas,2004,0.0
20,KS,Kansas,2005,0.0
20,KS,Kansas,2006,0.0
20,KS,Kansas,2007,0.0
20,KS,Kansas,2008,0.0
20,KS,Kansas,2009,0.0
20,KS,Kansas,2010,0.0
20,KS,Kansas,2011,0.0
20,KS,Kansas,2012,0.0
20,KS,Kansas,2013,0.0
20,KS,Kansas,2014,0.0
20,KS,Kansas,2015,
20,KS,Kansas,2016,
20,KS,Kansas,2017,
20,KS,Kansas,2018,
20,KS,Kansas,2019,2.334655732695652
20,KS,Kansas,2020,5.4113401268908214
20,KS,Kansas,2021,11.704796857125942
20,KS,Kansas,2022,14.329310007984931
20,KS,Kansas,2023,11.763712776917629
20,KS,Kansas,2024,9.645048717613207
21,KY,Kentucky,1999,0.0
21,KY,Kentucky,2000,0.0
21,KY,Kentucky,2001,0.0
21,KY,Kentucky,2002,0.0
21,KY,Kentucky,2003,0.0
21,KY,Kentucky,2004,0.0
21,KY,Kentucky,2005,0.0
21,KY,Kentucky,2006,0.0
21,KY,Kentucky,2007,0.0
21,KY,Kentucky,2008,0.0
21,KY,Kentucky,2009,0.0
21,KY,Kentucky,2010,0.0
21,KY,Kentucky,2011,0.0
21,KY,Kentucky,2012,0.0
21,KY,Kentucky,2013,0.0
21,KY,Kentucky,2014,0.0
21,KY,Kentucky,2015,
21,KY,Kentucky,2016,
21,KY,Kentucky,2017,
21,KY,Kentucky,2018,16.643247399968597
21,KY,Kentucky,2019,18.223102198063877
21,KY,Kentucky,2020,33.76017102787299
21,KY,Kentucky,2021,38.39543886141886
21,KY,Kentucky,2022,36.49442918068016
21,KY,Kentucky,2023,33.165177750187745
21,KY,Kentucky,2024,20.37501368878061
22,LA,Louisiana,1999,0.0
22,LA,Louisiana,2000,0.0
22,LA,Louisiana,2001,0.0
22,LA,Louisiana,2002,0.0
22,LA,Louisiana,2003,0.0
22,LA,Louisiana,2004,0.0
22,LA,Louisiana,2005,0.0
22,LA,Louisiana,2006,0.0
22,LA,Louisiana,2007,0.0
22,LA,Louisiana,2008,0.0
22,LA,Louisiana,2009,0.0
22,LA,Louisiana,2010,0.0
22,LA,Louisiana,2011,0.0
22,LA,Louisiana,2012,0.0
22,LA,Louisiana,2013,0.0
22,LA,Louisiana,2014,0.0
22,LA,Louisiana,2015,
22,LA,Louisiana,2016,
22,LA,Louisiana,2017,
22,LA,Louisiana,2018,
22,LA,Louisiana,2019,
22,LA,Louisiana,2020,
22,LA,Louisiana,2021,
22,LA,Louisiana,2022,
22,LA,Louisiana,2023,
22,LA,Louisiana,2024,
23,ME,Maine,1999,0.0
23,ME,Maine,2000,0.0
23,ME,Maine,2001,0.0
23,ME,Maine,2002,0.0
23,ME,Maine,2003,0.0
23,ME,Maine,2004,0.0
23,ME,Maine,2005,0.0
23,ME,Maine,2006,0.0
23,ME,Maine,2007,0.0
23,ME,Maine,2008,0.0
23,ME,Maine,2009,0.0
23,ME,Maine,2010,0.0
23,ME,Maine,2011,0.0
23,ME,Maine,2012,0.0
23,ME,Maine,2013,0.0
23,ME,Maine,2014,0.0
23,ME,Maine,2015,8.276289634022472
23,ME,Maine,2016,15.311315061830694
23,ME,Maine,2017,19.614551601617976
23,ME,Maine,2018,16.864123666260486
23,ME,Maine,2019,20.657318858348752
23,ME,Maine,2020,26.309116731865394
23,ME,Maine,2021,36.330437292287435
23,ME,Maine,2022,41.176069014828414
23,ME,Maine,2023,34.73628950807137
23,ME,Maine,2024,24.56622158731872
24,MD,Maryland,1999,0.0
24,MD,Maryland,2000,0.0
24,MD,Maryland,2001,0.0
24,MD,Maryland,2002,0.0
24,MD,Maryland,2003,0.0
24,MD,Maryland,2004,0.0
24,MD,Maryland,2005,0.0
24,MD,Maryland,2006,0.0
24,MD,Maryland,2007,0.0
24,MD,Maryland,2008,0.0
24,MD,Maryland,2009,0.0
24,MD,Maryland,2010,0.0
24,MD,Maryland,2011,0.0
24,MD,Maryland,2012,0.0
24,MD,Maryland,2013,0.0
24,MD,Maryland,2014,0.0
24,MD,Maryland,2015,6.22857570341159
24,MD,Maryland,2016,18.678165224852147
24,MD,Maryland,2017,26.508803809305153
24,MD,Maryland,2018,31.280240669178685
24,MD,Maryland,2019,31.80866444237231
24,MD,Maryland,2020,37.79303562564145
24,MD,Maryland,2021,37.370254540332105
24,MD,Maryland,2022,33.12170268840515
24,MD,Maryland,2023,32.78040176782096
24,MD,Maryland,2024,20.95971475573526
25,MA,Massachusetts,1999,0.0
25,MA,Massachusetts,2000,0.0
25,MA,Massachusetts,2001,0.0
25,MA,Massachusetts,2002,0.0
25,MA,Massachusetts,2003,0.0
25,MA,Massachusetts,2004,0.0
25,MA,Massachusetts,2005,0.0
25,MA,Massachusetts,2006,0.0
25,MA,Massachusetts,2007,0.0
25,MA,Massachusetts,2008,0.0
25,MA,Massachusetts,2009,0.0
25,MA,Massachusetts,2010,0.0
25,MA,Massachusetts,2011,0.0
25,MA,Massachusetts,2012,0.0
25,MA,Massachusetts,2013,0.0
25,MA,Massachusetts,2014,0.0
25,MA,Massachusetts,2015,15.285067239584528
25,MA,Massachusetts,2016,23.757631150326336
25,MA,Massachusetts,2017,25.39498452698017
25,MA,Massachusetts,2018,26.56221862056546
25,MA,Massachusetts,2019,27.73070986121157
25,MA,Massachusetts,2020,27.958633248011544
25,MA,Massachusetts,2021,30.914481226277278
25,MA,Massachusetts,2022,32.06905165707893
25,MA,Massachusetts,2023,28.387728301731013
25,MA,Massachusetts,2024,17.608593329747176
26,MI,Michigan,1999,0.0
26,MI,Michigan,2000,0.0
26,MI,Michigan,2001,0.0
26,MI,Michigan,2002,0.0
26,MI,Michigan,2003,0.0
26,MI,Michigan,2004,0.0
26,MI,Michigan,2005,0.0
26,MI,Michigan,2006,0.0
26,MI,Michigan,2007,0.0
26,MI,Michigan,2008,0.0
26,MI,Michigan,2009,0.0
26,MI,Michigan,2010,0.0
26,MI,Michigan,2011,0.0
26,MI,Michigan,2012,0.0
26,MI,Michigan,2013,0.0
26,MI,Michigan,2014,0.0
26,MI,Michigan,2015,
26,MI,Michigan,2016,
26,MI,Michigan,2017,
26,MI,Michigan,2018,15.409591754957251
26,MI,Michigan,2019,
26,MI,Michigan,2020,19.25082806359703
26,MI,Michigan,2021,22.912936219586587
26,MI,Michigan,2022,22.331949343213687
26,MI,Michigan,2023,21.864171023930933
26,MI,Michigan,2024,11.802024601676719
27,MN,Minnesota,1999,0.0
27,MN,Minnesota,2000,0.0
27,MN,Minnesota,2001,0.0
27,MN,Minnesota,2002,0.0
27,MN,Minnesota,2003,0.0
27,MN,Minnesota,2004,0.0
27,MN,Minnesota,2005,0.0
27,MN,Minnesota,2006,0.0
27,MN,Minnesota,2007,0.0
27,MN,Minnesota,2008,0.0
27,MN,Minnesota,2009,0.0
27,MN,Minnesota,2010,0.0
27,MN,Minnesota,2011,0.0
27,MN,Minnesota,2012,0.0
27,MN,Minnesota,2013,0.0
27,MN,Minnesota,2014,0.0
27,MN,Minnesota,2015,
27,MN,Minnesota,2016,
27,MN,Minnesota,2017,
27,MN,Minnesota,2018,
27,MN,Minnesota,2019,
27,MN,Minnesota,2020,
27,MN,Minnesota,2021,15.190613321012837
27,MN,Minnesota,2022,16.726130563337126
27,MN,Minnesota,2023,16.408835880005523
27,MN,Minnesota,2024,10.52194904444316
28,MS,Mississippi,1999,0.0
28,MS,Mississippi,2000,0.0
28,MS,Mississippi,2001,0.0
28,MS,Mississippi,2002,0.0
28,MS,Mississippi,2003,0.0
28,MS,Mississippi,2004,0.0
28,MS,Mississippi,2005,0.0
28,MS,Mississippi,2006,0.0
28,MS,Mississippi,2007,0.0
28,MS,Mississippi,2008,0.0
28,MS,Mississippi,2009,0.0
28,MS,Mississippi,2010,0.0
28,MS,Mississippi,2011,0.0
28,MS,Mississippi,2012,0.0
28,MS,Mississippi,2013,0.0
28,MS,Mississippi,2014,0.0
28,MS,Mississippi,2015,
28,MS,Mississippi,2016,
28,MS,Mississippi,2017,
28,MS,Mississippi,2018,
28,MS,Mississippi,2019,4.600052313003677
28,MS,Mississippi,2020,9.667436794061626
28,MS,Mississippi,2021,15.402345566889434
28,MS,Mississippi,2022,14.891693528947174
28,MS,Mississippi,2023,13.729961562904634
28,MS,Mississippi,2024,8.474082189106262
29,MO,Missouri,1999,0.0
29,MO,Missouri,2000,0.0
29,MO,Missouri,2001,0.0
29,MO,Missouri,2002,0.0
29,MO,Missouri,2003,0.0
29,MO,Missouri,2004,0.0
29,MO,Missouri,2005,0.0
29,MO,Missouri,2006,0.0
29,MO,Missouri,2007,0.0
29,MO,Missouri,2008,0.0
29,MO,Missouri,2009,0.0
29,MO,Missouri,2010,0.0
29,MO,Missouri,2011,0.0
29,MO,Missouri,2012,0.0
29,MO,Missouri,2013,0.0
29,MO,Missouri,2014,0.0
29,MO,Missouri,2015,
29,MO,Missouri,2016,
29,MO,Missouri,2017,
29,MO,Missouri,2018,14.381358364188232
29,MO,Missouri,2019,14.607990424193568
29,MO,Missouri,2020,20.080993339803875
29,MO,Missouri,2021,23.928518371091627
29,MO,Missouri,2022,24.048089706171506
29,MO,Missouri,2023,22.252816487902912
29,MO,Missouri,2024,13.437880793344293
30,MT,Montana,1999,0.0
30,MT,Montana,2000,0.0
30,MT,Montana,2001,0.0
30,MT,Montana,2002,0.0
30,MT,Montana,2003,0.0
30,MT,Montana,2004,0.0
30,MT,Montana,2005,0.0
30,MT,Montana,2006,0.0
30,MT,Montana,2007,0.0
30,MT,Montana,2008,0.0
30,MT,Montana,2009,0.0
30,MT,Montana,2010,0.0
30,MT,Montana,2011,0.0
30,MT,Montana,2012,0.0
30,MT,Montana,2013,0.0
30,MT,Montana,2014,0.0
30,MT,Montana,2015,
30,MT,Montana,2016,
30,MT,Montana,2017,
30,MT,Montana,2018,
30,MT,Montana,2019,
30,MT,Montana,2020,2.7594935777386134
30,MT,Montana,2021,5.784442741247415
30,MT,Montana,2022,7.935566764419772
30,MT,Montana,2023,8.402528895854635
30,MT,Montana,2024,6.41726084934645
31,NE,Nebraska,1999,0.0
31,NE,Nebraska,2000,0.0
31,NE,Nebraska,2001,0.0
31,NE,Nebraska,2002,0.0
31,NE,Nebraska,2003,0.0
31,NE,Nebraska,2004,0.0
31,NE,Nebraska,2005,0.0
31,NE,Nebraska,2006,0.0
31,NE,Nebraska,2007,0.0
31,NE,Nebraska,2008,0.0
31,NE,Nebraska,2009,0.0
31,NE,Nebraska,2010,0.0
31,NE,Nebraska,2011,0.0
31,NE,Nebraska,2012,0.0
31,NE,Nebraska,2013,0.0
31,NE,Nebraska,2014,0.0
31,NE,Nebraska,2015,
31,NE,Nebraska,2016,
31,NE,Nebraska,2017,
31,NE,Nebraska,2018,
31,NE,Nebraska,2019,
31,NE,Nebraska,2020,
31,NE,Nebraska,2021,4.68265590062997
31,NE,Nebraska,2022,
31,NE,Nebraska,2023,3.118442468760248
31,NE,Nebraska,2024,
32,NV,Nevada,1999,0.0
32,NV,Nevada,2000,0.0
32,NV,Nevada,2001,0.0
32,NV,Nevada,2002,0.0
32,NV,Nevada,2003,0.0
32,NV,Nevada,2004,0.0
32,NV,Nevada,2005,0.0
32,NV,Nevada,2006,0.0
32,NV,Nevada,2007,0.0
32,NV,Nevada,2008,0.0
32,NV,Nevada,2009,0.0
32,NV,Nevada,2010,0.0
32,NV,Nevada,2011,0.0
32,NV,Nevada,2012,0.0
32,NV,Nevada,2013,0.0
32,NV,Nevada,2014,0.0
32,NV,Nevada,2015,1.254997767149806
32,NV,Nevada,2016,1.7125897611108543
32,NV,Nevada,2017,2.4898245245696895
32,NV,Nevada,2018,2.903595674302353
32,NV,Nevada,2019,4.011943945378031
32,NV,Nevada,2020,9.62509917862612
32,NV,Nevada,2021,11.561163637472399
32,NV,Nevada,2022,15.451563282805779
32,NV,Nevada,2023,24.290915477891065
32,NV,Nevada,2024,25.141822314934828
33,NH,New Hampshire,1999,0.0
33,NH,New Hampshire,2000,0.0
33,NH,New Hampshire,2001,0.0
33,NH,New Hampshire,2002,0.0
33,NH,New Hampshire,2003,0.0
33,NH,New Hampshire,2004,0.0
33,NH,New Hampshire,2005,0.0
33,NH,New Hampshire,2006,0.0
33,NH,New Hampshire,2007,0.0
33,NH,New Hampshire,2008,0.0
33,NH,New Hampshire,2009,0.0
33,NH,New Hampshire,2010,0.0
33,NH,New Hampshire,2011,0.0
33,NH,New Hampshire,2012,0.0
33,NH,New Hampshire,2013,0.0
33,NH,New Hampshire,2014,0.0
33,NH,New Hampshire,2015,21.45826479648294
33,NH,New Hampshire,2016,25.82433202797661
33,NH,New Hampshire,2017,28.65828146579334
33,NH,New Hampshire,2018,27.969158652285056
33,NH,New Hampshire,2019,24.544692283780734
33,NH,New Hampshire,2020,23.49951260270157
33,NH,New Hampshire,2021,24.857573310027256
